correct sentences,incorrect sentences
"सर्वोच्च न्यायालय के मूल न्ययाधिकार में मौलिक अधिकारों के हनन के इलावा राज्यों और केंद्र, और दो या दो से अधिक राज्यों के बीच के विवाद आते हैं।","सर्वोच्च न्यायालय के मूल न्ययाधिकार में मौलिक अधिरों के हनन के इलावा राज्यों और केंद्र, और दो या दो से अधिक राज्यों के बीच के विवाद आते हैं।"
सर्वोच्च न्यायालय को राज्य और केंद्रीय कानूनों को असंवैधानिक ठहराने के अधिकार है।,सर्वोच्च न्यायालय को राज्य और केंद्रीय कानूनों को अवैधानिक ठहराने के अधिकार है।
उच्च न्यायालयों के अधिकार और उत्तरदायित्व सर्वोच्च न्यायालय की अपेक्षा सीमित हैं।,उच्च न्यायालयों के अधिका और उत्तरदायित्व सर्वोच्च न्यायालय की अपेक्षा सीमित हैं।
"संविधान ने न्यायपालिका को विस्तृत अधिकार दिये हैं, जिनमें संविधान की अंतिम व्याख्या करने का अधिकार भी सम्मिलित है।","संविधान ने न्यायपालिका को विस्तृत अधिकार दिये हैं, जिनमें सविधन की अंतिम व्याख्या करने का अधिकार भी सम्मिलित है।"
भारत विश्व का सबसे बड़ा लोकतंत्र है।,भरत विश्व का सबसे बड़ा लोकतंत्र है।
"बहुदलीय प्रणाली वाले इस संसदीय गणराज्य में छ: मान्यता-प्राप्त राष्ट्रीय पार्टियां, और चालीस से भी ज़्यादा क्षेत्रीय पार्टियां हैं।","बहुदलीय प्रणाली वाले इस संसदीय गराज्य में छ: मान्यता-प्राप्त राष्ट्रीय पार्टियां, और चालीस से भी ज़्यादा क्षेत्रीय पार्टियां हैं।"
"भारतीय जनता पार्टी (भाजपा), जिसकी नीतियों को केंद्रीय-दक्षिणपंथी या रूढिवादी माना जाता है, के नेतृत्व में केंद्र में सरकार है जिसके प्रधानमंत्री श्री नरेंद्र मोदी हैं।","भारतीय जनता पार्टी (भाजपा), जिसकी नीतियों को केंद्रीय-दक्षिणपंथी या रूवादी माना जाता है, के नेतृत्व में केंद्र में सरकार है जिसके प्रधानमंत्री श्री नरेंद्र मोदी हैं।"
"अन्य पार्टियों में सबसे बडी भारतीय राष्ट्रीय कॉंग्रेस (कॉंग्रेस) है, जिसे भारतीय राजनीति में केंद्र-वामपंथी और उदार माना जाता है।","अन्य पार्टियों में सबसे बडी भारतीय राष्ट्रीय कॉंग्रेस (कॉंग्रेस) है, जिसे भरतय राजनीति में केंद्र-वामपंथी और उदार माना जाता है।"
मनमोहन सिंह की गठबन्धन सरकार का सबसे बड़ा हिस्सा कॉंग्रेस पार्टी का था।,मनमोहन सिंह की गठबन्धन सरका का सबसे बड़ा हिस्सा कॉंग्रेस पार्टी का था।
दशक के अन्त तक कॉंग्रेस का संसद में निरंतर बहुमत रहा। पर तब से राजनैतिक पटल पर भाजपा और कॉंग्रेस को अन्य पार्टियों के साथ सत्ता बांटनी पडी है।,दशक के अन्त तक कॉंग्रेस का संसद में निरंतर बहुमत रहा। पर तब से राजनैक पटल पर भाजपा और कॉंग्रेस को अन्य पार्टियों के साथ सत्ता बांटनी पडी है।
गणराज्य के पहले तीन चुनावों में जवाहरलाल नेहरू के नेतृत्व में कॉंग्रेस ने आसान जीत पाई।,गणराज्य के पहले तीन चुनावों में जवाहरलाल नेहर के नेतृत्व में कॉंग्रेस ने आसान जीत पाई।
"नेहरू की मृत्यु के बाद लाल बहादुर शास्त्री कुछ समय के लिये प्रधानमंत्री बने, और उनकी खुद की मौत के बाद इंदिरा गांधी प्रधानमंत्री बनीं।","नेहरू की मृत्यु के बाद लाल बहार शास्त्री कुछ समय के लिये प्रधानमंत्री बने, और उनकी खुद की मौत के बाद इंदिरा गांधी प्रधानमंत्री बनीं।"
इंदिरा गांधी की हत्या के बाद उनके बेटे राजीव गांधी कॉंग्रेस के नेता और प्रधानमंत्री बने।,इंदिरा गांधी की हत्या के बाद उनके बेटे राजीव गांधी कॉंग्रेस के नेता और प्रधामत्री बने।
"नवगठित जनता दल के नेतृत्व वाले राष्ट्रीय मोर्चा ने वाम मोर्चा के बाहरी समर्थन से सरकार बनाई, जो केवल दो साल चली।","नवगठित जनता दल के नेतृत्व वाले राष्ट्रीय मोर्चा ने वाम मोर्चा के बाहरी समर्न से सरकार बनाई, जो केवल दो साल चली।"
"चुनावों के बाद दो साल तक राजनैतिक उथल पुथल का वक्त रहा, जिसमें कई गठबंधन सरकारें आई और गई।","चुनावों के बाद दो साल तक राजनैक उथल पुथल का वक्त रहा, जिसमें कई गठबंधन सरकारें आई और गई।"
उसके बाद दो संयुक्त मोर्चे की सरकारें आई जो कुछ लंबे वक्त तक चली।,उसके बाद दो संयुक्त मोर्चे की सरकरे आई जो कुछ लंबे वक्त तक चली।
"भाजपा के अटल बिहारी वाजपेयी के नेतृत्व में राष्ट्रीय जनतांत्रिक गठबंधन (राजग, या एनडीए) नाम के इस गठबंधन की सरकार पहली ऐसी सरकार बनी जिसने अपना पाँच साल का कार्यकाल पूरा किय।","भाजपा के अटल बिहारी वाजपेयी के नेतृत्व में राष्ट्रीय जनतांत्रिक गठबंन (राजग, या एनडीए) नाम के इस गठबंधन की सरकार पहली ऐसी सरकार बनी जिसने अपना पाँच साल का कार्यकाल पूरा किय।"
इस गठबंधन ने वामपंथी और गैर-भाजपा सांसदों के सहयोग से मनमोहन सिंह के नेतृत्व में पाँच साल तक शासन चलाया।,इस गठबंधन ने वामपंथी और गैर-भाजपा सांसदों के सहयोग से मनहन सिंह के नेतृत्व में पाँच साल तक शासन चलाया।
इसी साल मनमोहन सिंह जवाहरलाल नेहरू के बाद ऐसे पहले प्रधानमंत्री बने जिन्हे दो लगातार कार्यकाल के लिये प्रधानमंत्री बनने का अवसर प्राप्त हुआ।,इसी साल मनमोहन सिंह जवाहरलाल नेहरू के बाद ऐसे पहले प्रधानत्री बने जिन्हे दो लगातार कार्यकाल के लिये प्रधानमंत्री बनने का अवसर प्राप्त हुआ।
"पहली बार किसी राजनैतिक पार्टी को बहुमत प्राप्त हुआ, और भाजपा ने गुजरात के पूर्व मुख्यमंत्री नरेंद्र मोदी के नेतृत्व में सरकार बनाई।","पहली बार किसी राजनैतिक पार्टी को बहुमत प्राप्त हुआ, और भाप ने गुजरात के पूर्व मुख्यमंत्री नरेंद्र मोदी के नेतृत्व में सरकार बनाई।"
